instruction,exact_match,normalized_match,token_overlap,command_accuracy,syntax_valid,clarification_match
Calculate total duration per hour,0.0,0.0,0.5263157894736842,0.5,True,1.0
Show top 10 method from XmlWinEventLog:Security,0.0,0.0,0.4615384615384615,0.4,True,1.0
Detect port scanning activity,0.0,0.0,0.3896103896103896,0.5,True,1.0
Show me all failed connection attempts,0.0,0.0,0.07920792079207921,0.2857142857142857,True,1.0
Show me all zeek:software logs from the last 15m,0.0,0.0,0.375,0.0,True,1.0
Search for failed in the last 30d,0.0,0.0,0.17142857142857143,0.0,True,1.0
Display all logs from source IP 192.168.1.100,0.0,0.0,0.041666666666666664,0.0,True,1.0
Find registry persistence followed by scheduled task creation,0.0,0.0,0.3870967741935484,0.7692307692307693,True,1.0
Find beaconing behavior in network connections,0.0,0.0,0.5853658536585366,0.6,True,1.0
Find all processes executed from temp directories,0.0,0.0,0.27586206896551724,0.2222222222222222,False,1.0
Find ParentImage=trojan in zeek:pe logs,0.0,0.0,0.3157894736842105,0.0,True,1.0
Get all events from host server-dc01,0.0,0.0,0.2666666666666667,0.0,True,1.0
Identify DNS tunneling attempts,0.0,0.0,0.34408602150537637,0.5454545454545454,True,1.0
Display all 404 errors,0.0,0.0,0.19999999999999998,0.2857142857142857,True,1.0
Get all udp traffic logs,0.0,0.0,0.1875,0.0,True,1.0
Display HTTP traffic patterns by method over time,0.0,0.0,0.4666666666666667,0.4,True,1.0
Show query values sorted by frequency,0.0,0.0,0.6956521739130436,0.5714285714285715,True,1.0
List all unique services seen on the network,0.0,0.0,0.24390243902439024,0.5,True,1.0
"For each product ID, calculate the total revenue and the number of unique customers who purchased it.",0.0,0.0,0.3902439024390244,0.25,True,1.0
Get all events from host email-gateway,0.0,0.0,0.10526315789473684,0.0,True,1.0
Find all events with destination port 139,0.0,0.0,0.08695652173913045,0.0,True,1.0
Show zeek:dce_rpc logs between 2h ago and now,0.0,0.0,0.35294117647058826,0.0,True,1.0
Find events where user is not null,0.0,0.0,0.5263157894736842,0.4,True,1.0
Get all udp traffic logs,0.0,0.0,0.0821917808219178,0.0,True,1.0
Show zeek:dce_rpc logs between 30d ago and now,0.0,0.0,0.35294117647058826,0.0,True,1.0
Find all wscript or cscript executions,0.0,0.0,0.6285714285714286,0.4,True,1.0
Show top 10 dest_ip from zeek:weird,0.0,0.0,0.7058823529411764,0.6666666666666666,True,1.0
"For each git repository, list the top 3 users with the most commits in the last month.",0.0,0.0,0.3076923076923077,0.36363636363636365,True,1.0
Search for unauthorized in the last 30m,0.0,0.0,0.375,0.0,True,1.0
Get all events from host workstation-01,0.0,0.0,0.2666666666666667,0.0,True,1.0
Get all tcp traffic logs,0.0,0.0,0.16666666666666669,0.0,True,1.0
Show me zeek:smtp events where dest_ip contains powershell.exe,0.0,0.0,0.0821917808219178,0.0,True,1.0
Detect data exfiltration by identifying large icmp transfers,0.0,0.0,0.588235294117647,0.6666666666666666,True,1.0
Identify DNS tunneling attempts,0.0,0.0,0.37647058823529417,0.4615384615384615,True,1.0
Calculate total duration per hour,0.0,0.0,0.5263157894736842,0.5,True,1.0
